央视频道,#genre#
CCTV1,http://171.113.210.116:4022/rtp/239.254.96.96:8550
CCTV2,http://171.113.210.116:4022/rtp/239.69.1.102:10250
CCTV3,http://171.113.210.116:4022/rtp/239.69.1.122:10370
CCTV4,http://171.113.210.116:4022/rtp/239.69.1.138:10466
CCTV5,http://171.113.210.116:4022/rtp/239.69.1.123:10376
CCTV5+,http://171.113.210.116:4022/rtp/239.254.96.234:9484
CCTV6,http://171.113.210.116:4022/rtp/239.69.1.124:10382
CCTV8,http://171.113.210.116:4022/rtp/239.69.1.125:10388
CCTV9,http://171.113.210.116:4022/rtp/239.69.1.104:10262
CCTV10,http://171.113.210.116:4022/rtp/239.69.1.105:10268
CCTV11,http://171.113.210.116:4022/rtp/239.69.1.154:10560
CCTV12,http://171.113.210.116:4022/rtp/239.69.1.106:10274
CCTV13,http://171.113.210.116:4022/rtp/239.254.96.161:9040
CCTV14,http://171.113.210.116:4022/rtp/239.69.1.107:10280
CCTV15,http://171.113.210.116:4022/rtp/239.69.1.155:10566
CCTV16,http://171.113.210.116:4022/rtp/239.69.1.247:11124
CCTV17,http://171.113.210.116:4022/rtp/239.69.1.152:10548
CCTV4K,http://112.19.88.97:8899/rtp/239.11.0.62:5140
CCTV4欧洲,http://115.58.216.210:4000/rtp/225.1.5.31:1342
CCTV4美洲,http://115.58.216.210:4000/rtp/225.1.5.32:1343
CGTN,http://222.218.122.93:8188/udp/239.81.0.28:4056
CGTN记录,http://112.66.80.239:8188/rtp/239.253.64.58:5140
CGTN俄语,http://112.109.206.134:9999/rtp/239.255.40.179:8208
CGTN法语,http://171.113.210.116:4022/rtp/239.69.1.235:11052
第一剧场,http://171.113.210.116:4022/rtp/239.69.1.74:10084
风云剧场,http://113.106.171.234:8899/rtp/239.21.0.76:3644
怀旧剧场,http://113.106.171.234:8899/rtp/239.21.0.75:3640
风云足球,http://171.113.210.116:4022/rtp/239.69.1.81:10126
兵器科技,http://171.113.210.116:4022/rtp/239.69.1.79:10114
央视台球,http://171.113.210.116:4022/rtp/239.69.1.98:10224
世界地理,http://171.113.210.116:4022/rtp/239.69.1.91:10186
女性时尚,http://113.106.171.234:8899/rtp/239.21.0.73:3632
高尔夫网球,http://171.113.210.116:4022/rtp/239.69.1.83:10138
风云音乐,http://113.106.171.234:8899/rtp/239.21.0.79:3656

卫视频道,#genre#
湖南卫视,http://171.113.210.116:4022/rtp/239.254.96.139:8908
浙江卫视,http://171.113.210.116:4022/rtp/239.254.96.143:8932
东方卫视,http://171.113.210.116:4022/rtp/239.254.96.142:8926
北京卫视,http://171.113.210.116:4022/rtp/239.254.96.141:8920
江苏卫视,http://171.113.210.116:4022/rtp/239.254.96.144:8938
江西卫视,http://171.113.210.116:4022/rtp/239.69.1.126:10394
