Name: CCTV1, URL: http://59.173.243.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV1, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv1.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://wab201.win:35455/gaoma/cctv1.m3u8$订阅源, Date: None, Delay: 182 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://117.144.58.42:35455/gaoma/cctv1.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://36.40.236.2:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1064 ms, Speed: 0.55 M/s, Resolution: 720x576
Name: CCTV1, URL: http://58.17.116.69:9908/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 616 ms, Speed: 0.29 M/s, Resolution: None
Name: CCTV1, URL: http://113.220.234.228:9999/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1416 ms, Speed: 0.50 M/s, Resolution: 1920x1080
Name: CCTV1, URL: https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源, Date: None, Delay: 82 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 467 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV1, URL: http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV1, URL: http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV2, URL: http://59.173.243.210:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV2, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV2, URL: http://117.144.58.42:35455/gaoma/cctv2.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV2, URL: http://36.40.236.2:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1064 ms, Speed: 0.55 M/s, Resolution: 720x576
Name: CCTV2, URL: http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2464 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV2, URL: https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$订阅源, Date: None, Delay: 82 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV2, URL: http://111.14.181.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 467 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV2, URL: http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2156 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV2, URL: http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV3, URL: http://59.173.243.210:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV3, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv3.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV3, URL: http://117.144.58.42:35455/gaoma/cctv3.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV3, URL: http://wab201.win:35455/gaoma/cctv3.m3u8$订阅源, Date: None, Delay: 182 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV3, URL: http://36.40.236.2:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1064 ms, Speed: 0.55 M/s, Resolution: 720x576
Name: CCTV3, URL: http://113.220.234.228:9999/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1416 ms, Speed: 0.50 M/s, Resolution: 1920x1080
Name: CCTV3, URL: https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8$订阅源, Date: None, Delay: 82 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV3, URL: http://58.17.48.228:808/hls/3/index.m3u8$订阅源, Date: None, Delay: 151 ms, Speed: 0.15 M/s, Resolution: None
Name: CCTV3, URL: http://111.14.181.15:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 467 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV3, URL: http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2156 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV3, URL: http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV4, URL: http://59.173.243.210:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV4, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV4, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv4.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV4, URL: http://117.144.58.42:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV4, URL: http://117.144.58.42:35455/gaoma/cctv4.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV4, URL: http://36.40.236.2:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1064 ms, Speed: 0.55 M/s, Resolution: 720x576
Name: CCTV4, URL: http://58.17.116.69:9908/tsfile/live/0001_4.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 616 ms, Speed: 0.29 M/s, Resolution: None
Name: CCTV4, URL: http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV4欧洲, URL: http://59.173.243.210:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV4欧洲, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV4欧洲, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv4.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV4欧洲, URL: http://117.144.58.42:35455/gaoma/cctv4k.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV4欧洲, URL: http://117.144.58.42:35455/gaoma/cctv4.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV4欧洲, URL: http://36.40.236.2:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1064 ms, Speed: 0.55 M/s, Resolution: 720x576
Name: CCTV4欧洲, URL: http://58.17.116.69:9908/tsfile/live/0001_4.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 616 ms, Speed: 0.29 M/s, Resolution: None
Name: CCTV4欧洲, URL: http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV5, URL: http://59.173.243.210:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV5, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv5.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV5, URL: http://117.144.58.42:35455/gaoma/cctv5.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV5, URL: http://wab201.win:35455/gaoma/cctv5.m3u8$订阅源, Date: None, Delay: 182 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV5, URL: http://113.220.234.228:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1416 ms, Speed: 0.50 M/s, Resolution: 1920x1080
Name: CCTV5, URL: http://124.128.73.58:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 194 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV5+, URL: http://59.173.243.210:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1767 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV5+, URL: http://tv.kmhlzxs.top:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 180 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://117.144.58.42:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 2083 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://wab201.win:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 182 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8$订阅源, Date: None, Delay: 82 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://111.14.181.15:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 467 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV5+, URL: http://218.89.240.144:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 187 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV5+, URL: http://146.235.213.45:35455/gaoma/cctv5p.m3u8$订阅源, Date: None, Delay: 189 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2156 ms, Speed: 0.01 M/s, Resolution: None
